mass_A
t	x
3.580790000E1	-5.381127056E1
3.598383333E1	-5.031355634E1
3.614386667E1	-4.843363972E1
3.630423333E1	-4.606465884E1
3.647983333E1	-4.339411308E1
3.663990000E1	-4.093004773E1
3.681593333E1	-3.849684245E1
3.697596667E1	-3.589689619E1
3.715193333E1	-3.359623844E1
3.731190000E1	-2.993744730E1
3.747196667E1	-2.129015463E1
3.764823333E1	-3.090705274E1
3.780800000E1	-1.008149473E1
3.798380000E1	-6.800005489E0
3.814383333E1	-3.680874910E0
3.830390000E1	-3.986558617E-1
3.847983333E1	2.775909248E0
3.863990000E1	5.863190630E0
3.881593333E1	8.669566429E0
3.897603333E1	1.104950907E1
3.913656667E1	1.349823229E1
3.931203333E1	1.497512650E1
3.947186667E1	1.646791162E1
3.964793333E1	1.696784435E1
3.980786667E1	1.554375277E1
3.996790000E1	1.411865696E1
4.014390000E1	1.418549854E1
4.030386667E1	1.009212591E1
4.047983333E1	9.194763292E0
4.063993333E1	5.076068195E0
4.081586667E1	1.953603848E0
4.097596667E1	-1.902020606E0
4.113620000E1	-5.887462641E0
4.131183333E1	-1.008986825E1
4.147210000E1	-1.468964195E1
4.164786667E1	-1.937768604E1
4.180790000E1	-2.496488284E1
4.196803333E1	-3.018502687E1
4.214433333E1	-3.666022270E1
4.230393333E1	-4.275868635E1
4.247990000E1	-4.913320761E1
4.263986667E1	-5.548936111E1
4.280003333E1	-5.983888076E1
4.297590000E1	-8.346021317E1
4.313643333E1	-8.893955828E1
4.331190000E1	-9.339595639E1
4.347193333E1	-9.585039031E1
4.364790000E1	-9.778913142E1
4.380786667E1	-9.875132811E1
4.396796667E1	-9.924366263E1
4.414383333E1	-9.965504070E1
4.430423333E1	-9.884797710E1
4.447993333E1	-9.815722275E1
4.463996667E1	-9.729295714E1
4.480000000E1	-9.623162834E1
4.497590000E1	-9.487590077E1
4.513616667E1	-9.350629210E1
4.531190000E1	-9.042130837E1
4.547183333E1	-8.718256351E1
4.563196667E1	-8.178486455E1
4.580793333E1	-7.776137396E1
4.596813333E1	-7.543837072E1
4.614400000E1	-7.234907052E1
4.630406667E1	-5.201552250E1
4.646393333E1	-4.917562644E1
4.663986667E1	-4.627602942E1
4.679990000E1	-4.342352416E1
4.697586667E1	-4.048284428E1
4.713643333E1	-3.775288886E1
4.731200000E1	-3.485714875E1
4.747190000E1	-3.120152063E1
4.763206667E1	-2.478933849E1
4.780803333E1	-3.229736009E1
4.796803333E1	-9.648120068E0
4.814380000E1	-5.869497838E0
4.830420000E1	-2.167658431E0
4.846390000E1	1.205854264E0
4.864040000E1	4.895214851E0
4.880016667E1	8.058702147E0
4.897603333E1	1.111595467E1
4.913646667E1	1.379728166E1
4.929600000E1	1.580674040E1
4.947193333E1	1.667549413E1
4.963200000E1	1.707377939E1
4.980786667E1	1.434209838E1
4.996820000E1	1.412300649E1
5.014386667E1	1.070932774E1
5.030426667E1	8.398806779E0
5.046393333E1	5.031615629E0
5.063986667E1	4.179741516E-1
5.080000000E1	-4.327432898E0
5.097593333E1	-8.452356372E0
5.113616667E1	-1.394001847E1
5.129596667E1	-1.949570366E1
5.147200000E1	-2.524621721E1
5.163206667E1	-3.192572814E1
5.180790000E1	-3.829617282E1
5.196836667E1	-4.438069735E1
5.212793333E1	-5.235043619E1
5.230413333E1	-5.716882189E1
5.246390000E1	-6.245964971E1
5.263996667E1	-8.712187369E1
