mass_A
t	x
4.929600000E1	-1.059024725E-1
4.947193333E1	-3.435067860E-2
4.963200000E1	-3.375693711E-2
4.980786667E1	1.857263141E-2
4.996820000E1	-1.080270718E-2
5.014386667E1	9.794601081E-3
5.030426667E1	5.187112354E-2
5.046393333E1	1.155807850E-1
5.063986667E1	1.118277183E-1
5.080000000E1	1.105761770E-1
5.097593333E1	4.596125759E-2
5.113616667E1	1.165654606E-1
5.129596667E1	4.426225002E-2
5.147200000E1	-4.816293775E-3
5.163206667E1	8.333475755E-2
5.180790000E1	-1.147886200E-2
5.196836667E1	-4.346592588E-2
5.212793333E1	-7.006301065E-2
5.230413333E1	-2.351692132E-1
5.246390000E1	-1.543562990E-1
5.263996667E1	-1.445150811E-1
5.279986667E1	-1.700517597E-1
5.296000000E1	-3.467924174E-1
5.313653333E1	-1.730920441E-1
5.329600000E1	-7.266098189E-3
5.347196667E1	-2.489595659E-3
5.363196667E1	9.401192662E-2
5.380793333E1	-8.875035264E-3
5.396793333E1	2.134559254E-2
5.412800000E1	-5.753687823E-2
5.430420000E1	-6.355347237E-2
5.446396667E1	-1.324986578E-3
5.464003333E1	1.113745763E-1
5.479990000E1	7.262257197E-3
5.495996667E1	4.477222885E-2
5.513593333E1	3.460295340E-2
5.529590000E1	-2.840856259E-3
5.547186667E1	-1.186173341E-1
5.563183333E1	-3.785728451E-2
5.579193333E1	2.685315163E-3
5.596786667E1	3.990860475E-2
5.612786667E1	1.165682489E-2
5.630390000E1	1.668689571E-2
5.646386667E1	5.766364194E-2
5.663983333E1	7.834239327E-2
5.679990000E1	5.463896441E-2
5.695996667E1	4.962315036E-2
5.713593333E1	1.806884478E-2
5.729603333E1	-2.692432905E-3
5.747190000E1	-1.966564500E-2
5.763203333E1	-6.747264674E-3
5.779193333E1	-1.194776560E-2
5.796790000E1	-2.210232274E-2
5.812793333E1	-1.088709657E-2
5.830390000E1	-3.729303151E-2
5.846390000E1	2.384709556E-2
5.862403333E1	9.467918875E-2
5.879996667E1	6.428232121E-2
5.896006667E1	6.722931247E-2
5.913586667E1	-1.104079571E-2
5.929596667E1	-1.007620018E-1
5.945600000E1	-1.351144454E-1
5.963200000E1	-4.349825102E-2
5.979213333E1	-1.636306930E-3
5.996796667E1	7.843246963E-2
6.012800000E1	1.245529967E-1
6.030386667E1	2.219018668E-3
6.046380000E1	9.101488435E-2
6.062386667E1	5.629526331E-2
6.079983333E1	6.392865144E-2
6.095986667E1	2.508481860E-2
6.113580000E1	-5.926483294E-2
6.129596667E1	-2.029478631E-1
6.145600000E1	-4.744312502E-2
6.163200000E1	-6.033490388E-2
6.179206667E1	2.457789719E-2
6.196810000E1	-3.803635187E-2
6.212800000E1	-1.740968400E-2
6.228846667E1	-2.395092013E-1
6.246396667E1	-2.058162396E-2
6.262423333E1	-1.067258493E-1
6.280000000E1	-1.117204090E-1
6.296000000E1	-3.613336224E-1
6.313586667E1	-5.650562065E-1
6.329596667E1	-1.819118488E-1
6.345596667E1	-6.808879672E-2
6.363193333E1	-1.876763186E-1
6.379200000E1	-2.455380747E-2
6.396800000E1	6.824560871E-2
6.412803333E1	9.809651171E-2
6.428833333E1	1.827485654E-1
6.446386667E1	8.597654554E-2
6.462386667E1	9.991334208E-2
6.479986667E1	7.069002185E-2
6.496003333E1	4.736439366E-2
6.511993333E1	5.218512470E-2
6.529583333E1	1.406389192E-1
6.545586667E1	7.356918185E-2
6.563193333E1	9.501580221E-2
6.579190000E1	5.515150942E-2
6.595313333E1	5.625051781E-2
6.612783333E1	-2.135485505E-2
6.628803333E1	-9.485994373E-2
6.646383333E1	-2.547695209E-1
6.662386667E1	-2.483992326E-1
6.679980000E1	-1.249519630E-1
6.695996667E1	-1.203004065E-1
6.712036667E1	-1.121194964E-1
6.729603333E1	-5.726060600E-2
6.745603333E1	-3.555326250E-2
6.763193333E1	-2.015019935E-2
6.779196667E1	9.144866428E-3
6.795243333E1	1.687490408E-1
6.812790000E1	1.862813319E-1
6.828810000E1	1.715522488E-1
6.846410000E1	1.334591904E-1
6.862400000E1	1.867520827E-1
6.878450000E1	6.194610452E-2
6.895993333E1	-5.274547169E-2
6.912066667E1	-2.624936948E-2
6.929596667E1	3.979805815E-2
6.945590000E1	6.188284175E-2
6.963183333E1	1.261106738E-2
6.979203333E1	-3.104139404E-2
6.995256667E1	-7.946291296E-2
7.012790000E1	-6.505307505E-1
7.028873333E1	-8.350268654E-1
7.046393333E1	-1.218338966E0
7.062390000E1	-1.284190932E0
7.078463333E1	-9.496755134E-1
7.095993333E1	-1.429045960E-1
7.111986667E1	-5.425438945E-2
7.129600000E1	-2.855196114E-2
7.145613333E1	-1.377986201E-1
7.161603333E1	-1.669034991E-1
7.179196667E1	5.591682407E-2
7.195196667E1	8.121088071E-2
7.212793333E1	1.891231650E-1
7.228810000E1	6.985065462E-2
7.244816667E1	1.073543303E-1
7.262456667E1	6.567938263E-2
7.278433333E1	7.956316478E-2
7.295993333E1	4.450991140E-2
7.312023333E1	1.078554004E-1
7.329590000E1	6.628326856E-2
7.345616667E1	3.356947065E-2
7.361596667E1	-2.714864415E-2
7.379203333E1	-4.958039434E-2
7.395223333E1	-2.427238084E-1
7.412790000E1	-4.200119696E-1
7.428800000E1	-5.077612548E-1
7.444790000E1	-6.151255617E-1
7.462393333E1	-3.366386824E-1
7.478426667E1	2.461059207E-3
7.495983333E1	-2.829229703E-2
7.511993333E1	1.773923979E-2
7.527990000E1	4.923688532E-3
7.545593333E1	-4.018471636E-3
7.561606667E1	3.032920502E-2
7.579183333E1	7.296058980E-2
7.595200000E1	1.590242979E-1
7.611190000E1	3.049906461E-2
7.628786667E1	-1.479508667E-1
7.644790000E1	-6.092880955E-2
7.662383333E1	1.145922093E-1
7.678436667E1	1.080989289E-1
7.695983333E1	4.684966194E-2
7.712050000E1	-1.457152822E-2
7.727990000E1	-1.737807961E-1
7.745586667E1	-5.996744760E-1
7.761590000E1	-9.954052140E-1
7.779196667E1	-1.083114466E0
7.795250000E1	-1.512945888E0
7.811200000E1	-1.265238743E0
7.828790000E1	-3.962815313E-1
7.844786667E1	-7.027263029E-1
7.862420000E1	-3.553855985E-1
7.878430000E1	-1.366623478E-1
7.894393333E1	-3.365300024E-2
7.911990000E1	7.419947454E-2
7.928000000E1	5.860385222E-2
7.945600000E1	9.333143866E-2
7.961610000E1	1.498082903E-1
7.979193333E1	1.196627578E-1
7.995216667E1	1.550766299E-2
8.011210000E1	1.152949368E-1
8.028850000E1	-8.882435323E-2
8.044806667E1	1.694590555E-2
8.062383333E1	5.785651843E-2
8.078453333E1	3.207303562E-2
8.094403333E1	-1.803443587E-1
8.112006667E1	-2.423157965E-1
8.128013333E1	-7.906497595E-1
8.145593333E1	-4.408180859E-1
8.161586667E1	-4.320689542E-1
8.177603333E1	-3.956418188E-1
8.195236667E1	-1.469659191E-1
8.211196667E1	-1.177652028E-1
8.228793333E1	-6.671978080E-2
8.244803333E1	2.607336670E-2
8.260803333E1	3.026575198E-2
8.278426667E1	6.622533116E-2
8.294403333E1	2.320603167E-1
8.312003333E1	-6.186928647E-2
8.328010000E1	6.855010266E-2
8.345593333E1	6.400859939E-2
8.361600000E1	-3.253028486E-2
8.377596667E1	-3.472061565E-2
8.395230000E1	9.501930922E-2
8.411200000E1	8.605692165E-2
8.428790000E1	4.572211654E-2
8.444796667E1	2.817929527E-2
8.460803333E1	-8.334245338E-1
8.478393333E1	-1.480249630E0
8.494390000E1	-9.545328067E-1
8.512000000E1	-9.057391907E-1
8.528000000E1	-9.515913335E-1
8.543990000E1	-1.112368783E0
8.561606667E1	-6.978190386E-1
8.577603333E1	-1.832149344E-1
8.595193333E1	1.505944098E-2
8.611186667E1	4.234499633E-2
8.628830000E1	1.962007235E-1
8.644786667E1	1.978537944E-1
8.660806667E1	1.367471050E-1
8.678390000E1	4.947412368E-2
8.694396667E1	4.169393240E-2
8.711976667E1	-1.096739074E-1
8.727986667E1	-3.906110943E-2
8.744006667E1	3.538297554E-2
8.761586667E1	7.539188424E-2
8.777590000E1	9.699502829E-2
8.795190000E1	4.032944622E-3
8.811200000E1	-1.765663222E-1
8.827216667E1	-4.546185525E-1
8.844806667E1	-8.373052761E-1
8.860790000E1	-6.460598038E-1
8.878406667E1	-6.543810781E-1
8.894386667E1	-8.811572252E-1
8.910390000E1	-6.345474017E-1
8.927996667E1	-6.445636298E-1
8.944000000E1	-1.745412979E-1
8.961636667E1	8.195630366E-2
8.977596667E1	-1.276122623E-2
8.995186667E1	4.314587474E-2
9.011203333E1	1.682146790E-1
9.027200000E1	5.698665282E-2
9.044783333E1	1.146628843E-1
9.060783333E1	1.571996207E-1
9.078390000E1	8.004352886E-2
9.094383333E1	9.016561426E-2
9.110416667E1	1.154031504E-1
9.128006667E1	1.885903071E-1
9.143993333E1	1.281969975E-1
9.161613333E1	-1.011671180E-1
9.177593333E1	-8.140382233E-1
9.193636667E1	-8.252343098E-1
9.211223333E1	-1.003646249E0
9.227203333E1	-7.395265857E-1
9.244800000E1	-3.599779472E-1
9.260803333E1	-1.023119331E-1
9.278406667E1	-8.324370599E-1
9.294430000E1	-7.129317018E-2
9.310400000E1	1.492281445E-3
9.327996667E1	1.218943081E-1
9.344000000E1	7.890992478E-2
9.361590000E1	1.611941606E-1
9.377596667E1	3.377187861E-2
9.393623333E1	7.728747247E-2
9.411203333E1	3.688475652E-2
9.427196667E1	3.402934931E-2
9.444783333E1	-7.696942699E-2
9.460796667E1	-5.795755194E-2
9.476846667E1	2.778431487E-3
9.494390000E1	9.097829203E-2
9.510396667E1	8.991896767E-2
9.527993333E1	5.757427460E-2
9.544010000E1	2.415032388E-2
9.560036667E1	-8.204470429E-2
9.577586667E1	-1.418489974E0
9.593586667E1	-1.446490491E0
9.611183333E1	-6.841968818E-1
9.627190000E1	-4.681760208E-1
9.644790000E1	-6.489049099E-2
9.660796667E1	-6.805577810E-1
9.676836667E1	-7.989815788E-1
9.694390000E1	-5.813750631E-1
9.710386667E1	-5.228838376E-2
9.727980000E1	2.530332876E-1
9.743983333E1	2.662436404E-1
9.760050000E1	2.221768463E-1
9.777593333E1	1.345553111E-1
9.793593333E1	1.144157047E-1
9.811186667E1	1.062107861E-1
9.827206667E1	3.568903903E-2
9.843216667E1	8.656694301E-2
9.860806667E1	-2.960640824E-2
9.876836667E1	-9.376292783E-3
9.894390000E1	1.532259011E-1
9.910396667E1	1.066382505E-1
9.928016667E1	8.936792083E-2
9.943993333E1	7.340237888E-2
9.960016667E1	-1.137514572E-1
9.977590000E1	-6.255910372E-1
9.993653333E1	-8.079094558E-1
1.001119667E2	-7.476416419E-1
1.002720333E2	-5.174683378E-1
1.004322333E2	-5.340944279E-1
1.006079333E2	-3.963919948E-1
1.007688667E2	-1.310147448E-1
1.009438333E2	-9.382230029E-2
1.011044000E2	1.737916091E-2
1.012639333E2	-7.801328370E-3
1.014399333E2	2.446268458E-3
